,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
164,Maxime Dupé,Nantes,France,27,90,0,0,0,0,-,-,-,2.0,29.0,0.0,18.0,44%,0.00,0,0.0,0.0,0,0.0,0.0,0,2.0,0,0,0.00,0.00,0%,5.7
165,Jimmy Durmaz,Toulouse,Sweden,31,1030,3,3,5,0,56%,55%,46%,0.6,59.8,1.4,40.3,73%,0.26,2,1.6,5.3,3,1.2,0.6,5,0.0,0,0,0.26,0.00,50%,6.4
166,Félix Eboa,Guingamp,Cameroon,23,1517,1,0,2,0,58%,65%,61%,6.6,57.5,2.3,38.5,80%,0.00,1,0.7,0.8,0,0.5,0.3,7,0.0,0,1,0.06,0.06,56%,6.5
167,Yassine El Ghanassy,Nantes,Belgium,30,634,0,0,1,0,58%,46%,53%,0.3,63.6,0.6,37.3,84%,0.00,1,5.5,3.5,0,1.9,0.4,7,0.0,0,0,0.00,0.00,23%,6.1
168,Anwar El Ghazi,Lille,Netherlands,25,1646,4,4,2,0,78%,38%,39%,0.3,50.3,0.6,28.0,78%,0.22,5,1.3,5.6,0,3.4,1.6,3,0.0,0,2,0.22,0.22,48%,6.3
169,Oualid El Hajjam,Amiens,Morocco,29,2197,1,1,6,0,74%,38%,49%,3.5,61.5,2.3,30.6,71%,0.05,1,0.8,2.2,0,0.7,0.1,8,0.0,0,2,0.05,0.05,11%,6.6
170,Patrice Evra,Marseille,France,4,0,0,2,0,1.3,71%,61%,3.9,0,0.8,4.6,73%,6.2,0,1.0,1.5,0,0.5,0.0,0.3,0.0,3,0,0.00,0.00,0%,0%,6.4
171,Valentin Eysseric,Nice,France,28,90,0,0,0,0,-,0%,23%,0.0,99.0,1.0,66.0,83%,0.00,0,3.0,10.0,0,1.0,1.0,0,0.0,0,0,0.00,0.00,100%,7.0
172,Simon Falette,FC Metz,Guinea,28,90,0,0,0,0,-,67%,50%,7.0,77.0,1.0,65.0,92%,0.00,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.7
173,Imad Faraj,Lille,Morocco,21,157,0,1,0,0,40%,40%,53%,1.7,74.0,2.3,36.5,80%,0.57,2,4.5,4.0,0,2.8,1.1,0,0.0,0,0,0.00,0.00,40%,6.4
